0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.000536036,0.261760975,0.288048536,0.306363632,0.323303555,0.332256436,0.335013641,0.340024356,0.348322622,0.355607798,0.363203086,0.370919751,0.3785489,0.386104311,0.393660889,0.40123114,0.408812544,0.416402583,0.423998737,0.431598487,0.439199314,0.4467987,0.454394456,0.461986463,0.469575388,0.4771619,0.48474667,0.492330367,0.499913661,0.507497222,0.515081672,0.522667134,0.530253437,0.537840404,0.545427861,0.553015632,0.560603542,0.568191414,0.575779079,0.583366478,0.590953653,0.598540649,0.60612751,0.613714282,0.621301009,0.628887737,0.63647451,0.644061349,0.651648247,0.659235194,0.666822179,0.674409192,0.681996222,0.689583259,0.697170293,0.704757315,0.71234432,0.719931302,0.727518256,0.735105176,0.742692058,0.750278896,0.757865685,0.765452429,0.773039161,0.780625919,0.788212744,0.795799673,0.803386747,0.810974004,0.818561483,0.826149199,0.833737036,0.841324838,0.848912446,0.856499705,0.864086455,0.871672541,0.879257805,0.886842143,0.894425912,0.902009704,0.909594111,0.917179727,0.924767144,0.932356956,0.939949755,0.947545353,0.955131723,0.962692643,0.970259569,0.977890664,0.985437436,0.993318173,1,0.882449522,0.817527926,0.726027035,0.601072873,0.435791462,0.016754736,-0.470225453,-0.655583923,-0.716823325,-0.782986231,-0.857707527,-1,-0.99182247,-0.984426853,-0.976814091,-0.969256168,-0.961656007,-0.954051885,-0.946464504,-0.938883192,-0.931300035,-0.923714911,-0.916128212,-0.90854033,-0.900951656,-0.893362582,-0.8857735,-0.878184801,-0.870596719,-0.863009184,-0.855422089,-0.847835329,-0.840248797,-0.832662386,-0.82507599,-0.817489504,-0.80990285,-0.802316041,-0.794729108,-0.78714208,-0.779554988,-0.771967864,-0.764380736,-0.756793635,-0.749206586,-0.741619589,-0.734032634,-0.726445713,-0.718858817,-0.711271936,-0.703685063,-0.696098187,-0.688511301,-0.680924401,-0.673337483,-0.665750545,-0.658163585,-0.650576599,-0.642989586,-0.635402542,-0.627815466,-0.62022837,-0.612641273,-0.605054197,-0.597467162,-0.589880189,-0.5822933,-0.574706514,-0.567119852,-0.559533289,-0.551946754,-0.544360171,-0.536773466,-0.529186564,-0.521599391,-0.514011873,-0.506423935,-0.498835624,-0.491247186,-0.483658886,-0.476070989,-0.46848376,-0.460897464,-0.453312368,-0.445728734,-0.438146523,-0.430564891,-0.422982868,-0.415399484,-0.407813768,-0.400224749,-0.392631457,-0.38503292,-0.377433903,-0.36986298,-0.362325439,-0.354741701,-0.34703985,-0.339723731,-0.331155986,-0.321729927,-0.324181237,-0.32477897,-0.302198118,-0.232162652
0.017875961,0.346254947,0.566488498,0.700816035,0.771476976,0.800710743,0.893626287,0.940974496,0.931347135,0.923580341,0.928215506,0.931722919,0.932247816,0.931189921,0.929939183,0.929318076,0.929282936,0.929717146,0.930504087,0.931527142,0.932669692,0.93381512,0.934847291,0.93569861,0.936390747,0.936954962,0.937422518,0.937824675,0.938192695,0.93855784,0.938951317,0.939393098,0.939878138,0.940398017,0.940944313,0.941508605,0.942082471,0.94265749,0.943225246,0.943779921,0.944322752,0.944856156,0.945382551,0.945904355,0.946423987,0.946943865,0.947466406,0.947993298,0.948523797,0.949056659,0.949590638,0.950124488,0.950656964,0.95118682,0.951712812,0.952234314,0.952753241,0.953272153,0.95379361,0.954320174,0.954854404,0.955398862,0.955956108,0.956527183,0.957105484,0.957682012,0.958247768,0.958793752,0.959310964,0.959790404,0.960223073,0.960604391,0.960957243,0.961315053,0.961711264,0.962179321,0.962752667,0.963464747,0.964349004,0.965426094,0.966617674,0.967799225,0.968845968,0.969633122,0.970035907,0.969929546,0.969189257,0.967789739,0.966675469,0.967338035,0.971273201,0.975906912,0.96649064,0.957823546,1,0.796024498,0.729777863,0.64370873,0.533817215,0.396103436,0.017875961,-0.367729738,-0.556850976,-0.632729831,-0.676882003,-0.72889013,-1,-0.905765122,-0.924713734,-0.945248979,-0.936028872,-0.92828812,-0.927478123,-0.930431152,-0.93398832,-0.936149407,-0.936967981,-0.936708287,-0.935634566,-0.934011061,-0.932102016,-0.930171673,-0.928483726,-0.927204087,-0.926289058,-0.925667862,-0.925269717,-0.925023844,-0.924859464,-0.924705797,-0.924492109,-0.924169922,-0.92374878,-0.923247561,-0.922685143,-0.922080406,-0.921452228,-0.920819487,-0.92020106,-0.919610928,-0.919047456,-0.918505904,-0.91798153,-0.917469595,-0.916965357,-0.916464077,-0.915961012,-0.915452245,-0.914937073,-0.914415582,-0.913887859,-0.913353991,-0.912814064,-0.912268164,-0.911716379,-0.911159386,-0.910600723,-0.910044787,-0.909495976,-0.908958688,-0.90843732,-0.90793627,-0.907459935,-0.907010305,-0.906575001,-0.906136349,-0.905676666,-0.905178269,-0.904623474,-0.903994599,-0.903273959,-0.902451022,-0.901568223,-0.900691792,-0.899888069,-0.899223394,-0.898764111,-0.898576558,-0.898727079,-0.899261646,-0.900036672,-0.900805502,-0.901320449,-0.901333827,-0.90059795,-0.898865133,-0.89588769,-0.891572897,-0.887667733,-0.887124521,-0.892916348,-0.90110361,-0.882948558,-0.860841568,-0.945197785,-0.722212765,-0.65323575,-0.572862086,-0.480335071,-0.374898002
0.004875422,0.171394603,0.314275484,0.435414534,0.536708222,0.620053015,0.890893842,0.981189815,1,0.996764011,0.992499471,0.988632342,0.984630854,0.980664456,0.976722153,0.972786934,0.968845489,0.964896725,0.96094206,0.956982913,0.953020702,0.949056847,0.945092767,0.941129877,0.937169117,0.933210278,0.929252978,0.925296839,0.921341481,0.917386523,0.913431588,0.909476296,0.905520432,0.901564065,0.897607295,0.893650221,0.889692944,0.885735563,0.881778178,0.877820886,0.873863738,0.869906715,0.865949796,0.86199296,0.858036183,0.854079445,0.850122724,0.846165998,0.842209253,0.838252481,0.834295677,0.830338833,0.826381943,0.822424999,0.818467995,0.814510926,0.810553814,0.806596702,0.802639633,0.798682651,0.794725799,0.79076912,0.786812658,0.782856442,0.778900385,0.774944329,0.770988116,0.767031588,0.763074589,0.759116959,0.755158543,0.75119925,0.747239461,0.743279752,0.739320699,0.735362878,0.731406864,0.727453233,0.723502563,0.719555057,0.715609123,0.711662625,0.707713424,0.703759383,0.699798364,0.69582823,0.691846843,0.687857338,0.683881302,0.679944357,0.67605281,0.671962723,0.668342853,0.664374118,0.656207728,0.459493006,0.414128524,0.360811865,0.298720357,0.227031328,0.014132829,-0.197409178,-0.32928987,-0.402216511,-0.436896365,-0.454036697,-0.657505202,-0.654273154,-0.658223091,-0.662370052,-0.666251578,-0.670245486,-0.674213674,-0.678159721,-0.682098128,-0.686041114,-0.689990458,-0.693944953,-0.697903394,-0.701864577,-0.705827297,-0.709790347,-0.713752523,-0.717712926,-0.721671667,-0.725629067,-0.729585445,-0.73354112,-0.737496413,-0.741451644,-0.745407131,-0.749363087,-0.753319469,-0.757276192,-0.761233175,-0.765190335,-0.76914759,-0.773104857,-0.777062053,-0.781019133,-0.78497611,-0.788933008,-0.792889849,-0.796846653,-0.800803443,-0.80476024,-0.808717068,-0.812673931,-0.816630819,-0.820587716,-0.824544611,-0.828501488,-0.832458335,-0.836415137,-0.840371883,-0.844328583,-0.848285277,-0.852242002,-0.856198797,-0.8601557,-0.864112751,-0.868069987,-0.872027441,-0.875985043,-0.879942649,-0.883900112,-0.887857288,-0.891814028,-0.895770188,-0.899725621,-0.903680222,-0.907634306,-0.911588419,-0.915543109,-0.919498926,-0.92345642,-0.927416138,-0.931378631,-0.935344204,-0.939311499,-0.943278467,-0.94724306,-0.951203226,-0.955156915,-0.959102077,-0.963036661,-0.966962249,-0.97089808,-0.974868747,-0.978890131,-0.982716916,-0.987119734,-0.990031747,-1,-0.908633751,-0.562933183,-0.513605675,-0.460796605,-0.404391005,-0.344273906
0.017470044,0.25890719,0.411070664,0.49523311,0.532667174,0.544645498,0.61311908,0.633272642,0.635232443,0.639720733,0.643952468,0.648275122,0.65248007,0.656626543,0.660772557,0.66494602,0.669143466,0.673359958,0.67759056,0.681830335,0.686074349,0.690317664,0.694555434,0.698785582,0.703009249,0.707227756,0.711442426,0.715654582,0.719865545,0.724076639,0.728289166,0.732503738,0.736720058,0.740937773,0.745156527,0.749375967,0.753595736,0.757815482,0.762034852,0.766253671,0.770472018,0.774689993,0.778907696,0.783125225,0.787342682,0.791560165,0.795777773,0.799995552,0.804213467,0.80843147,0.812649519,0.816867566,0.821085567,0.825303478,0.829521252,0.833738888,0.837956458,0.842174043,0.846391724,0.850609582,0.854827698,0.859046152,0.863265025,0.867484288,0.871703689,0.875922948,0.880141786,0.884359924,0.888577083,0.892792984,0.897007347,0.901220261,0.905432644,0.909645535,0.91385997,0.918076988,0.922297626,0.92652292,0.930753906,0.934990393,0.939229016,0.943465905,0.947697189,0.951918996,0.956127457,0.960318701,0.964488866,0.968645384,0.972828694,0.977085239,0.981427923,0.985383026,0.990394179,0.993137563,1,0.719854297,0.651574666,0.570304627,0.474565782,0.362879733,0.033300988,-0.292193093,-0.491050328,-0.598461461,-0.649617233,-0.679683293,-1,-0.956797634,-0.956392371,-0.95012356,-0.946585048,-0.942044712,-0.93772692,-0.933598363,-0.929539052,-0.925444498,-0.921295499,-0.917102028,-0.912874081,-0.908621658,-0.904354754,-0.900083369,-0.895817499,-0.891565833,-0.887328868,-0.883103932,-0.878888347,-0.874679437,-0.870474524,-0.86627093,-0.862065978,-0.857857291,-0.853644642,-0.84942874,-0.845210298,-0.840990028,-0.836768643,-0.832546856,-0.82832538,-0.82410486,-0.819885393,-0.815666805,-0.811448922,-0.807231569,-0.803014571,-0.798797752,-0.794580939,-0.790363967,-0.786146768,-0.781929331,-0.777711641,-0.773493687,-0.769275457,-0.765056937,-0.760838114,-0.75661899,-0.752399703,-0.748180476,-0.743961535,-0.739743104,-0.73552541,-0.731308676,-0.727093129,-0.722878943,-0.718665671,-0.714452436,-0.710238351,-0.70602253,-0.701804087,-0.697582135,-0.693355788,-0.689124311,-0.684889233,-0.680653827,-0.676421408,-0.672195295,-0.667978803,-0.66377525,-0.659587952,-0.655419773,-0.651265499,-0.647112977,-0.642949828,-0.638763672,-0.634542129,-0.63027282,-0.625943365,-0.621545068,-0.617147968,-0.612897643,-0.608942719,-0.604759255,-0.601220043,-0.591332704,-0.62194242,-0.502007749,-0.454400223,-0.397660654,-0.331093353,-0.254002633
0.005256647,0.210251272,0.378865652,0.51480274,0.62176549,0.703456852,0.909312961,0.984130367,1,0.992629282,0.992596623,0.990789459,0.987574075,0.984908782,0.98266975,0.980490969,0.978204177,0.975822652,0.973366406,0.97085545,0.968309796,0.965749454,0.963194436,0.960663897,0.9581635,0.95568818,0.953232576,0.950791328,0.948359073,0.945930452,0.943500101,0.941062962,0.938617793,0.936165983,0.933708972,0.931248202,0.928785113,0.926321145,0.92385774,0.921396233,0.918936876,0.916479278,0.914023036,0.91156775,0.909113019,0.906658441,0.904203615,0.90174818,0.899292121,0.896835601,0.894378785,0.891921835,0.889464917,0.887008194,0.88455183,0.882095954,0.879640426,0.877184992,0.874729398,0.872273386,0.869816704,0.867359095,0.864900304,0.862440194,0.859979351,0.85751863,0.855058888,0.852600983,0.85014577,0.847694106,0.845246848,0.842804337,0.840364252,0.837923424,0.835478679,0.833026848,0.830564757,0.828089236,0.825597113,0.823087507,0.820569526,0.818055001,0.815555761,0.813083636,0.810650455,0.808268049,0.805948247,0.803660761,0.801219526,0.798413823,0.795758032,0.794635147,0.791909937,0.788167247,0.786076968,0.559264742,0.504584549,0.439667774,0.363379112,0.274583261,0.005256647,-0.246318107,-0.400926856,-0.484984011,-0.524903978,-0.547100226,-0.803839936,-0.776606369,-0.782666004,-0.785876004,-0.784597019,-0.787611455,-0.791045938,-0.793459754,-0.795442993,-0.797516708,-0.799765718,-0.802156904,-0.804657142,-0.807233309,-0.809852282,-0.81248094,-0.815086158,-0.817642432,-0.820152224,-0.822624405,-0.825067851,-0.827491435,-0.82990403,-0.83231451,-0.834731749,-0.837162238,-0.839605049,-0.842057809,-0.844518146,-0.846983689,-0.849452065,-0.851920901,-0.854387827,-0.856851202,-0.859311321,-0.8617688,-0.864224253,-0.866678294,-0.86913154,-0.871584604,-0.8740381,-0.876492448,-0.878947621,-0.881403533,-0.883860096,-0.886317223,-0.888774828,-0.891232823,-0.89369112,-0.896149576,-0.898607938,-0.901065937,-0.903523309,-0.905979786,-0.908435102,-0.910888991,-0.913341192,-0.915791943,-0.918242316,-0.920693465,-0.923146542,-0.925602701,-0.928063095,-0.930528876,-0.933001157,-0.935478922,-0.93795807,-0.940434253,-0.942903126,-0.945360343,-0.947801558,-0.950222425,-0.952618839,-0.954995393,-0.957367613,-0.959751724,-0.962163949,-0.964620511,-0.967137633,-0.969731539,-0.972413002,-0.975045827,-0.977333734,-0.979176381,-0.98215805,-0.986575134,-0.985055538,-1,-0.964884922,-0.617688028,-0.561118812,-0.49948413,-0.432576791,-0.360189607
-0.00287951,0.231664273,0.416135588,0.556723142,0.659615646,0.731001806,0.875775195,0.946723916,0.948258198,0.942531572,0.944342655,0.949105031,0.952418082,0.953058773,0.95247087,0.952009923,0.951988667,0.95232652,0.952942174,0.953754323,0.95468166,0.955642879,0.956556674,0.957354305,0.95803481,0.958619965,0.959131566,0.959591408,0.960021285,0.960442992,0.960878324,0.961345232,0.961843316,0.962366713,0.962909555,0.963465977,0.964030111,0.964596092,0.965158053,0.965711315,0.96625622,0.966794434,0.967327625,0.967857461,0.968385609,0.968913736,0.969443511,0.96997616,0.970511263,0.971048012,0.971585601,0.972123223,0.97266007,0.973195336,0.973728213,0.974258368,0.974787043,0.975315803,0.975846218,0.976379854,0.97691828,0.977463061,0.978015766,0.978576393,0.979140324,0.979702087,0.980256214,0.980797236,0.981319683,0.981818086,0.982286988,0.98272729,0.9831566,0.983595234,0.984063508,0.984581737,0.98517024,0.98584933,0.986639228,0.987534037,0.988466704,0.98936143,0.990142416,0.990733864,0.991059975,0.99104495,0.990615763,0.990145275,0.990939351,0.994290038,0.998699767,1,0.993915015,0.999349409,0.998366616,0.658569343,0.59748495,0.530106609,0.456143166,0.375303468,-0.00287951,-0.235588656,-0.420888945,-0.564410949,-0.671785238,-0.748642385,-0.92407227,-0.995759962,-1,-0.99319065,-0.993379536,-0.996515017,-0.998647015,-0.998356424,-0.996867538,-0.995417747,-0.994360365,-0.993626201,-0.993143435,-0.99284025,-0.992644827,-0.992485349,-0.992289998,-0.99199524,-0.991595492,-0.991109914,-0.990557759,-0.989958279,-0.989330727,-0.988694355,-0.988068416,-0.987469593,-0.986898739,-0.986350674,-0.985820211,-0.98530216,-0.984791333,-0.984282541,-0.983770594,-0.98325111,-0.982724098,-0.982191052,-0.981653471,-0.981112851,-0.980570688,-0.980028481,-0.979487725,-0.978949602,-0.978413778,-0.97787946,-0.977345856,-0.976812172,-0.976277618,-0.975741401,-0.975202729,-0.974661192,-0.974118019,-0.973574876,-0.973033428,-0.972495341,-0.97196228,-0.97143591,-0.970917897,-0.97040858,-0.96990328,-0.969396132,-0.968881267,-0.968352822,-0.967804929,-0.967231722,-0.966627336,-0.965991376,-0.965341796,-0.964700401,-0.964088992,-0.96352937,-0.96304334,-0.962652702,-0.962379241,-0.962221992,-0.962112178,-0.961968451,-0.961709463,-0.961253864,-0.960520306,-0.959427439,-0.95789464,-0.956234852,-0.955804498,-0.958048274,-0.961742293,-0.962482965,-0.95568078,-0.956135239,-0.965374695,-0.64483489,-0.58493574,-0.51855293,-0.445373276,-0.365083593
0.010245191,0.168303873,0.276616022,0.344889164,0.382830826,0.400148535,0.453643222,0.478697076,0.480518054,0.488212772,0.495083952,0.500648198,0.506553648,0.512810141,0.519140713,0.525393753,0.531574333,0.537697399,0.543777895,0.549830767,0.555870961,0.56191342,0.567972757,0.574054824,0.580156079,0.586272515,0.592400126,0.598534908,0.604672855,0.61080996,0.616942345,0.623068664,0.629189904,0.63530714,0.641421446,0.647533898,0.653645569,0.659757534,0.665870821,0.67198573,0.678101983,0.684219288,0.690337352,0.696455882,0.702574587,0.708693172,0.714811363,0.720929105,0.72704649,0.733163615,0.739280577,0.745397471,0.751514393,0.75763144,0.763748696,0.769866136,0.775983668,0.7821012,0.78821864,0.794335896,0.800452877,0.80656949,0.81268567,0.818801577,0.824917483,0.831033658,0.837150375,0.843267905,0.84938652,0.855506491,0.861627973,0.867750309,0.873872503,0.879993556,0.886112471,0.89222825,0.898339895,0.904446409,0.910547332,0.916645292,0.922744012,0.928847219,0.934958636,0.941081991,0.947221009,0.953379414,0.959550747,0.965679684,0.971697699,0.977729333,0.984230125,0.990387464,0.995763881,1,0.921814681,0.579715329,0.522296624,0.459035253,0.38959517,0.313640326,0.010245191,-0.201705771,-0.362556263,-0.480200224,-0.562531595,-0.617444314,-0.895613263,-1,-0.973832221,-0.970885206,-0.964596636,-0.956838024,-0.951087174,-0.945394591,-0.939227301,-0.932878566,-0.926585151,-0.920374704,-0.914231281,-0.908138937,-0.902081728,-0.896043709,-0.890008936,-0.88396147,-0.877890067,-0.871796689,-0.865685604,-0.859561081,-0.853427387,-0.847288789,-0.841149557,-0.835013953,-0.828884791,-0.822761441,-0.816642769,-0.810527641,-0.804414925,-0.798303488,-0.792192196,-0.786079919,-0.779965955,-0.773850468,-0.767733725,-0.761615993,-0.755497542,-0.749378638,-0.74325955,-0.737140544,-0.731021816,-0.724903441,-0.718785481,-0.712667997,-0.706551052,-0.700434708,-0.694319027,-0.688204067,-0.682089665,-0.67597533,-0.669860546,-0.663744797,-0.657627568,-0.651508342,-0.645386602,-0.639261863,-0.633134697,-0.627007023,-0.620880841,-0.614758154,-0.608640965,-0.602531277,-0.596431091,-0.590342246,-0.584262221,-0.57818376,-0.572099368,-0.566001553,-0.559882821,-0.553735678,-0.547552632,-0.541327054,-0.535069902,-0.528808525,-0.522570898,-0.516384995,-0.510278789,-0.504280256,-0.498417369,-0.492699609,-0.486842976,-0.480328664,-0.473175171,-0.46847018,-0.465308332,-0.451143455,-0.472386645,-0.353676079,-0.319626297,-0.280105152,-0.234744555,-0.183176421
-1.77E-05,0.101693066,0.192535172,0.273184676,0.34431766,0.406610207,0.701718889,0.817768147,0.934589088,0.987509637,1,0.991871582,0.983710028,0.975410429,0.966945433,0.95867753,0.950406097,0.942089316,0.933758747,0.925435591,0.917120513,0.908811816,0.900507804,0.892206779,0.883907044,0.875606902,0.867304749,0.859000173,0.850693608,0.842385503,0.834076307,0.825766469,0.817456439,0.809146666,0.8008375,0.792528918,0.784220806,0.775913051,0.76760554,0.75929816,0.750990799,0.742683346,0.734375745,0.726068016,0.717760183,0.70945227,0.701144302,0.692836301,0.684528293,0.6762203,0.667912337,0.659604413,0.651296537,0.642988721,0.634680974,0.626373306,0.618065726,0.609758225,0.601450743,0.593143213,0.58483557,0.576527745,0.568219673,0.559911288,0.551602532,0.543293512,0.534984477,0.526675681,0.518367377,0.51005982,0.501753261,0.493447955,0.485143987,0.476840653,0.468537008,0.460232113,0.451925024,0.443614801,0.435300501,0.426981209,0.418657642,0.410333086,0.402011052,0.39369505,0.385388591,0.377095186,0.368818346,0.360557391,0.352270239,0.343891387,0.335494098,0.327498155,0.319221732,0.31045678,0.30109259,0.210622374,0.189620515,0.164815588,0.135793518,0.102140228,-1.77E-05,-0.09527048,-0.153908607,-0.185937685,-0.201363296,-0.21019086,-0.302004163,-0.310653759,-0.319081497,-0.327381439,-0.335607475,-0.343938528,-0.352264893,-0.360567372,-0.368863019,-0.377162792,-0.385466869,-0.393774338,-0.402084286,-0.410395801,-0.41870797,-0.427019882,-0.435330681,-0.443640182,-0.451948625,-0.460256253,-0.468563314,-0.476870052,-0.485176713,-0.493483542,-0.501790725,-0.510098236,-0.518406011,-0.52671398,-0.535022078,-0.543330238,-0.551638391,-0.559946474,-0.568254456,-0.576562352,-0.58487018,-0.593177956,-0.601485697,-0.609793421,-0.618101143,-0.62640888,-0.634716638,-0.643024418,-0.651332223,-0.659640055,-0.667947915,-0.676255805,-0.684563729,-0.692871679,-0.701179638,-0.709487581,-0.717795487,-0.726103334,-0.7344111,-0.742718763,-0.751026304,-0.759333767,-0.767641245,-0.775948831,-0.784256618,-0.7925647,-0.800873169,-0.80918212,-0.817491573,-0.825801235,-0.834110735,-0.842419699,-0.850727755,-0.859034528,-0.867339646,-0.87564275,-0.883944181,-0.892245275,-0.900547443,-0.908852097,-0.917160647,-0.925474506,-0.933795085,-0.94212183,-0.950437111,-0.958714683,-0.96698929,-0.975427681,-0.983728652,-0.991915034,-1,-0.985770883,-0.935282893,-0.846016346,-0.682723319,-0.402254867,-0.369456135,-0.33529999,-0.299754014,-0.262785787
-0.011592447,0.536137609,0.596712068,0.567761657,0.549102453,0.539341621,0.615126781,0.592386598,0.601625923,0.617795024,0.626054785,0.628640935,0.628126915,0.627086135,0.6275534,0.629652456,0.633083392,0.637546294,0.642741253,0.648368355,0.65412769,0.659719346,0.664878661,0.669583573,0.673914116,0.677950678,0.681773647,0.685463412,0.68910036,0.69276488,0.696533601,0.700427927,0.70442727,0.708509991,0.712654451,0.71683901,0.72104203,0.725241872,0.729417165,0.73355783,0.737668964,0.741756733,0.745827304,0.749886841,0.75394151,0.757997476,0.762060898,0.766135515,0.770219181,0.774308871,0.778401561,0.782494228,0.786583848,0.790667395,0.794741847,0.798805465,0.802862465,0.80691878,0.810980345,0.815053095,0.819142965,0.823255888,0.8273978,0.831572878,0.835769169,0.839966037,0.844142765,0.848278634,0.852352927,0.856344925,0.86023391,0.864001404,0.867676708,0.871334917,0.87505297,0.878907806,0.882976364,0.887335582,0.892062398,0.897232136,0.90279374,0.908481107,0.914007207,0.919085005,0.923427469,0.926747566,0.928758263,0.929172769,0.928282146,0.92819351,0.931369815,0.940274021,0.956595273,0.962339888,0.944032082,1,0.978878589,0.946401493,0.871954337,0.670739195,-0.011592447,-0.695886323,-0.886612543,-0.977774072,-0.992026578,-1,-0.975850975,-0.980443473,-0.975715565,-0.96688915,-0.960936856,-0.957204147,-0.954736636,-0.952579937,-0.949917546,-0.946636659,-0.94284838,-0.938663908,-0.934194443,-0.929551184,-0.92484533,-0.920188079,-0.915682528,-0.911348512,-0.907156937,-0.903078084,-0.899082234,-0.895139668,-0.891220665,-0.887295506,-0.883335179,-0.879328204,-0.8752814,-0.871202441,-0.867099005,-0.862978765,-0.858849397,-0.854718576,-0.850593951,-0.846480351,-0.842377363,-0.838284004,-0.834199292,-0.830122243,-0.826051876,-0.821987207,-0.817927254,-0.813870504,-0.809813614,-0.805752842,-0.801684449,-0.797604693,-0.793509835,-0.789396134,-0.785259849,-0.781099121,-0.776924694,-0.772752492,-0.768598456,-0.764478527,-0.760408645,-0.756404751,-0.752482786,-0.748655775,-0.744895275,-0.741141998,-0.737335924,-0.733417029,-0.729325293,-0.725000692,-0.720383206,-0.715415738,-0.710158152,-0.704824126,-0.699637806,-0.69482334,-0.690604875,-0.68720656,-0.684852541,-0.683765976,-0.683885259,-0.684472134,-0.684690025,-0.683702354,-0.680672545,-0.674764021,-0.665140204,-0.650964519,-0.632582187,-0.615669341,-0.60740456,-0.61496651,-0.644591799,-0.654886184,-0.575972601,-0.771566564,-0.742770257,-0.689106609,-0.606452038,-0.490682966
0.002905741,0.143086258,0.252881443,0.336120937,0.396634384,0.438251425,0.525170655,0.571197581,0.575960278,0.580339158,0.587101418,0.591915867,0.596506093,0.601560267,0.606808515,0.612013604,0.61713938,0.622201099,0.627214016,0.632193385,0.637154462,0.642112501,0.647082749,0.652075692,0.657089283,0.662119433,0.667162055,0.672213061,0.677268362,0.682323871,0.687375521,0.692421017,0.697461143,0.702496995,0.707529667,0.712560252,0.717589845,0.722619539,0.72765041,0.732682922,0.737716821,0.742751817,0.747787615,0.752823923,0.757860448,0.762896899,0.767932994,0.772968655,0.778003962,0.783038999,0.788073851,0.793108603,0.798143338,0.803178143,0.808213092,0.813248179,0.818283356,0.823318572,0.828353779,0.833388927,0.838423966,0.843458847,0.848493539,0.853528114,0.858562682,0.863597354,0.868632238,0.873667444,0.878703081,0.88373926,0.888776,0.893812992,0.898849856,0.90388621,0.908921675,0.913955869,0.918988411,0.924018922,0.929047512,0.934075427,0.939104078,0.944134876,0.94916923,0.95420855,0.959254246,0.964307558,0.969359376,0.974384542,0.979368106,0.984431453,0.989640502,0.994378764,1,0.983492694,0.875569618,0.529104015,0.477205081,0.421061466,0.360478323,0.295260806,0.002905741,-0.17912789,-0.324335856,-0.437354824,-0.522821464,-0.585372444,-0.84447026,-0.99796488,-1,-0.987675271,-0.984937899,-0.978556777,-0.973303455,-0.968667211,-0.963708323,-0.958542877,-0.95336603,-0.948248408,-0.943180382,-0.938150992,-0.933149277,-0.928164276,-0.923185028,-0.918200571,-0.913201203,-0.908186061,-0.903158066,-0.898120157,-0.89307527,-0.888026344,-0.882976314,-0.877928119,-0.872884138,-0.867844275,-0.862807747,-0.857773768,-0.852741555,-0.847710323,-0.842679289,-0.837647669,-0.832614902,-0.827581067,-0.822546354,-0.817510956,-0.812475063,-0.807438866,-0.802402556,-0.797366325,-0.792330309,-0.787294541,-0.782259046,-0.777223847,-0.772188967,-0.767154428,-0.762120256,-0.757086469,-0.752052958,-0.747019454,-0.741985677,-0.736951345,-0.73191618,-0.726879899,-0.721842224,-0.716802914,-0.711762435,-0.70672186,-0.701682277,-0.696644778,-0.691610451,-0.686580389,-0.681555679,-0.676537106,-0.67152238,-0.666507445,-0.661488226,-0.656460646,-0.651420629,-0.646364098,-0.641286977,-0.636187225,-0.631075304,-0.625966422,-0.620875797,-0.615818648,-0.610810191,-0.605865644,-0.601000226,-0.596177862,-0.591161851,-0.585682923,-0.580427608,-0.577115466,-0.571425968,-0.566119511,-0.568752282,-0.37830791,-0.342585994,-0.30296369,-0.259248939,-0.211249682
